DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
10-7-2021-9:24:48,47.62284,104.9905,229.5284,753.0458,0.0,0.0,,,,,,,
10-7-2021-9:24:49,38.94563,85.86047,229.5788,753.2114,2.897808,9.507244,,,,,,,
10-7-2021-9:24:50,40.32894,88.91016,229.699,753.6058,5.730497,18.80084,,,,,,,
10-7-2021-9:24:51,38.44258,84.75146,229.9829,754.5369,15.66119,51.38185,,,,,,,
10-7-2021-9:24:52,36.0532,79.48376,230.4463,756.0574,25.10349,82.36051,,,,,,,
10-7-2021-9:24:54,39.07137,86.1377,231.0107,757.909,34.70858,113.8733,,,,,,,
10-7-2021-9:24:55,36.93353,81.42456,231.6114,759.8798,35.29465,115.7961,,,,,,,
10-7-2021-9:24:56,33.03503,72.82983,232.2769,762.0635,39.20181,128.6149,,,,,,,
10-7-2021-9:24:57,35.80171,78.92932,232.9463,764.2596,40.11348,131.6059,,,,,,,
10-7-2021-9:24:58,34.66989,76.43408,233.6181,766.4637,41.28563,135.4515,,,,,,,
10-7-2021-9:24:59,35.17292,77.54309,234.2919,768.6741,38.94133,127.7603,,,,,,,
10-7-2021-9:25:00,35.55016,78.37476,234.9889,770.9609,40.14604,131.7127,,,,,,,
10-7-2021-9:25:01,31.77746,70.05737,235.7182,773.3538,41.67635,136.7334,,,,,,,
10-7-2021-9:25:02,33.03503,72.82983,236.4576,775.7795,42.1973,138.4426,,,,,,,
10-7-2021-9:25:03,32.65779,71.99817,237.2331,778.3237,46.4626,152.4364,,,,,,,
10-7-2021-9:25:04,32.78354,72.27539,238.0259,780.9249,48.51387,159.1662,,,,,,,
10-7-2021-9:25:05,35.55016,78.37476,239.0816,784.3886,64.66345,212.1504,,,,,,,
10-7-2021-9:25:06,32.78354,72.27539,239.8965,787.0618,47.89524,157.1366,,,,,,,
10-7-2021-9:25:07,32.2805,71.16638,240.7012,789.7021,49.97905,163.9733,,,,,,,
10-7-2021-9:25:08,36.0532,79.48376,241.5339,792.4341,49.49066,162.3709,,,,,,,
10-7-2021-9:25:09,31.77746,70.05737,242.3957,795.2614,50.5,165.6824,,,,,,,
10-7-2021-9:25:10,29.38808,64.78967,243.262,798.1038,51.96519,170.4895,,,,,,,
10-7-2021-9:25:11,33.16077,73.10706,244.1471,801.0076,52.94198,173.6942,,,,,,,
10-7-2021-9:25:12,32.02901,70.61194,245.0412,803.9408,51.54192,169.1008,,,,,,,
10-7-2021-9:25:13,31.52597,69.50293,245.9376,806.882,52.97453,173.801,,,,,,,
10-7-2021-9:25:14,31.52597,69.50293,246.9939,810.3475,58.34688,191.4268,,,,,,,
10-7-2021-9:25:15,29.89112,65.89868,247.9704,813.5513,58.50967,191.9609,,,,,,,
10-7-2021-9:25:16,32.02901,70.61194,248.9613,816.8022,57.56544,188.863,,,,,,,
10-7-2021-9:25:17,33.78956,74.49329,249.9395,820.0114,57.33753,188.1152,,,,,,,
10-7-2021-9:25:18,33.03503,72.82983,250.9312,823.265,57.76081,189.504,,,,,,,
10-7-2021-9:25:19,36.17894,79.76099,251.9066,826.4653,57.72824,189.3971,,,,,,,
10-7-2021-9:25:20,32.53199,71.72083,252.9078,829.7501,58.70504,192.6018,,,,,,,
10-7-2021-9:25:21,33.16077,73.10706,253.8854,832.9575,74.3011,243.77,,,,,,,
10-7-2021-9:25:23,31.14868,68.67114,254.879,836.2173,57.69568,189.2903,,,,,,,
10-7-2021-9:25:24,37.93955,83.64246,255.8537,839.4149,58.5748,192.1745,,,,,,,
10-7-2021-9:25:25,34.54414,76.15686,256.8454,842.6685,57.72824,189.3971,,,,,,,
10-7-2021-9:25:26,35.80171,78.92932,257.8219,845.8723,58.41199,191.6404,,,,,,,
10-7-2021-9:25:27,33.03503,72.82983,258.8212,849.1509,57.79337,189.6108,,,,,,,
10-7-2021-9:25:28,34.54414,76.15686,259.7931,852.3396,56.49098,185.3379,,,,,,,
10-7-2021-9:25:29,35.29867,77.82031,260.8052,855.66,60.07254,197.0884,,,,,,,
10-7-2021-9:25:30,35.80171,78.92932,261.7912,858.895,57.85848,189.8244,,,,,,,
10-7-2021-9:25:31,35.29867,77.82031,262.7938,862.1842,59.4539,195.0587,,,,,,,
10-7-2021-9:25:32,34.66989,76.43408,263.7892,865.4503,57.66313,189.1835,,,,,,,
10-7-2021-9:25:33,32.65779,71.99817,264.7845,868.7155,59.48647,195.1656,,,,,,,
10-7-2021-9:25:34,33.03503,72.82983,265.7865,872.003,58.37944,191.5336,,,,,,,
10-7-2021-9:25:35,36.68198,80.87,266.7888,875.2914,59.48647,195.1656,,,,,,,
10-7-2021-9:25:36,34.16685,75.32507,267.7963,878.5967,57.85848,189.8244,,,,,,,
10-7-2021-9:25:37,35.04718,77.26587,268.8466,882.0426,59.71438,195.9133,,,,,,,
10-7-2021-9:25:38,37.93955,83.64246,269.8529,885.3443,57.98872,190.2517,,,,,,,
10-7-2021-9:25:39,33.03503,72.82983,271.0853,889.3876,89.08318,292.2677,,,,,,,
10-7-2021-9:25:40,32.53199,71.72083,272.0762,892.6385,59.7795,196.127,,,,,,,
10-7-2021-9:25:41,34.79564,76.7113,273.0945,895.9794,58.28176,191.2131,,,,,,,
10-7-2021-9:25:42,31.65172,69.78015,274.0938,899.258,59.87718,196.4474,,,,,,,
10-7-2021-9:25:43,35.80171,78.92932,275.1013,902.5633,58.41199,191.6404,,,,,,,
10-7-2021-9:25:44,35.29867,77.82031,276.0938,905.8196,59.58414,195.486,,,,,,,
10-7-2021-9:25:45,32.65779,71.99817,277.0918,909.0938,57.85848,189.8244,,,,,,,
10-7-2021-9:25:46,38.0653,83.91968,278.0859,912.3554,59.58414,195.486,,,,,,,
10-7-2021-9:25:47,36.0532,79.48376,279.0974,915.674,59.55159,195.3792,,,,,,,
10-7-2021-9:25:48,35.55016,78.37476,280.1285,919.0568,61.24469,200.934,,,,,,,
10-7-2021-9:25:49,36.30474,80.03833,281.1199,922.3095,58.02128,190.3585,,,,,,,
10-7-2021-9:25:50,35.04718,77.26587,282.1279,925.6166,59.51902,195.2724,,,,,,,
10-7-2021-9:25:51,33.53807,73.93884,283.1197,928.8702,58.5748,192.1745,,,,,,,
10-7-2021-9:25:52,36.68198,80.87,284.1355,932.2031,59.32367,194.6315,,,,,,,
10-7-2021-9:25:54,37.05928,81.70178,285.1267,935.455,58.44456,191.7472,,,,,,,
10-7-2021-9:25:55,35.80171,78.92932,286.1534,938.8235,59.32367,194.6315,,,,,,,
10-7-2021-9:25:56,37.18502,81.979,287.1437,942.0726,82.01773,269.087,,,,,,,
10-7-2021-9:25:57,36.93353,81.42456,288.1496,945.3726,58.70504,192.6018,,,,,,,
10-7-2021-9:25:58,38.56833,85.02869,289.1445,948.6369,60.85397,199.6521,,,,,,,
10-7-2021-9:25:59,35.29867,77.82031,290.1609,951.9716,59.61671,195.5929,,,,,,,
10-7-2021-9:26:00,37.43651,82.53345,291.163,955.259,59.68182,195.8065,,,,,,,
10-7-2021-9:26:01,36.0532,79.48376,292.1601,958.5305,58.67247,192.495,,,,,,,
10-7-2021-9:26:02,35.29867,77.82031,293.1749,961.8598,58.34688,191.4268,,,,,,,
10-7-2021-9:26:03,37.43651,82.53345,294.1628,965.101,58.34688,191.4268,,,,,,,
10-7-2021-9:26:04,36.55624,80.59277,295.1705,968.4072,58.44456,191.7472,,,,,,,
10-7-2021-9:26:05,36.30474,80.03833,296.1671,971.6769,59.90974,196.5543,,,,,,,
10-7-2021-9:26:06,37.56231,82.81079,297.1811,975.0035,59.25855,194.4178,,,,,,,
10-7-2021-9:26:07,36.55624,80.59277,298.1823,978.2883,60.36557,198.0498,,,,,,,
10-7-2021-9:26:08,35.55016,78.37476,299.2066,981.6488,59.4539,195.0587,,,,,,,
10-7-2021-9:26:09,34.54414,76.15686,300.2102,984.9416,60.30046,197.8362,,,,,,,
10-7-2021-9:26:10,36.68198,80.87,301.2195,988.2531,59.7795,196.127,,,,,,,
10-7-2021-9:26:11,36.68198,80.87,302.2821,991.7391,59.25855,194.4178,,,,,,,
10-7-2021-9:26:12,35.55016,78.37476,303.2827,995.0222,60.23534,197.6225,,,,,,,
10-7-2021-9:26:13,37.93955,83.64246,304.3008,998.3621,59.16087,194.0973,,,,,,,
10-7-2021-9:26:14,37.68806,83.08801,305.2985,1001.635,61.17957,200.7204,,,,,,,
10-7-2021-9:26:15,35.17292,77.54309,306.3271,1005.01,58.77015,192.8155,,,,,,,
10-7-2021-9:26:16,36.93353,81.42456,307.3307,1008.303,60.43069,198.2634,,,,,,,
10-7-2021-9:26:17,37.68806,83.08801,308.3447,1011.63,60.26789,197.7293,,,,,,,
10-7-2021-9:26:18,37.68806,83.08801,309.3508,1014.93,59.38879,194.8451,,,,,,,
10-7-2021-9:26:19,36.30474,80.03833,310.393,1018.35,59.4539,195.0587,,,,,,,
10-7-2021-9:26:20,36.93353,81.42456,311.4094,1021.684,59.09575,193.8837,,,,,,,
10-7-2021-9:26:21,36.17894,79.76099,312.4184,1024.995,60.59349,198.7975,,,,,,,
10-7-2021-9:26:22,38.44258,84.75146,313.44,1028.346,59.29111,194.5246,,,,,,,
10-7-2021-9:26:23,38.0653,83.91968,314.4491,1031.657,61.40748,201.4681,,,,,,,
10-7-2021-9:26:24,35.04718,77.26587,315.4677,1034.999,59.4539,195.0587,,,,,,,
10-7-2021-9:26:25,34.54414,76.15686,316.4821,1038.327,61.50516,201.7886,,,,,,,
10-7-2021-9:26:26,35.29867,77.82031,317.4918,1041.64,58.86783,193.1359,,,,,,,
10-7-2021-9:26:27,36.93353,81.42456,318.4925,1044.923,61.60284,202.1091,,,,,,,
10-7-2021-9:26:28,37.56231,82.81079,319.3919,1047.874,53.39782,175.1897,,,,,,,
10-7-2021-9:26:29,36.30474,80.03833,320.2289,1050.62,50.95584,167.1779,,,,,,,
10-7-2021-9:26:30,42.71832,94.17786,320.8281,1052.585,35.00161,114.8347,,,,,,,
10-7-2021-9:26:31,44.22738,97.50476,321.114,1053.524,13.67505,44.86565,,,,,,,
10-7-2021-9:26:32,44.98196,99.16833,321.1208,1053.546,3.25596e-2,1.06823e-1,,,,,,,
10-7-2021-9:26:33,45.86224,101.109,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:35,46.49102,102.4952,321.1208,1053.546,0.0,0.0,,,,,,,
10-7-2021-9:26:36,45.98798,101.3862,321.1208,1053.546,0.0,0.0,,,,,,,
