DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI
10-7-2021-8:26:55,30.64564,67.56213,-1.616858,-5.304651,0,0
10-7-2021-8:26:56,30.89719,68.1167,-1.616858,-5.304651,0,0
10-7-2021-8:26:57,30.77144,67.83948,-1.616858,-5.304651,0,0
10-7-2021-8:26:58,30.64564,67.56213,-1.388397,-4.55511,22.2708,73.06692
10-7-2021-8:26:59,29.38808,64.78967,-7.64E-01,-2.504999,36.10864,118.4667
10-7-2021-8:27:00,27.37598,60.35376,1.98E-02,6.50E-02,46.85332,153.7183
10-7-2021-8:27:01,26.36991,58.13574,7.72E-01,2.534375,74.69181,245.0519
10-7-2021-8:27:02,29.38808,64.78967,1.247306,4.09221,33.73179,110.6686
10-7-2021-8:27:03,33.53807,73.93884,1.24622,4.088649,0,0
10-7-2021-8:27:04,35.42442,78.09753,1.016675,3.335547,-14.5216,-47.64304
10-7-2021-8:27:05,35.92746,79.20654,7.86E-01,2.578885,-13.64249,-44.75882
10-7-2021-8:27:06,36.68198,80.87,5.03E-01,1.651305,-15.85655,-52.02279
10-7-2021-8:27:07,35.04718,77.26587,1.76E-01,5.79E-01,-19.07995,-62.59826
10-7-2021-8:27:08,34.16685,75.32507,-1.54E-01,-5.07E-01,-19.89394,-65.26883
10-7-2021-8:27:09,36.0532,79.48376,-4.67E-01,-1.53291,-18.00548,-59.0731
10-7-2021-8:27:10,30.64564,67.56213,-5.74E-01,-1.883645,-11.33076,-37.17439
10-7-2021-8:27:11,29.26233,64.51245,-5.74E-01,-1.883645,0,0
10-7-2021-8:27:12,29.13659,64.23523,-5.74E-01,-1.883645,0,0
10-7-2021-8:27:13,29.63962,65.34424,-5.74E-01,-1.883645,0,0
10-7-2021-8:27:14,29.26233,64.51245,-5.74E-01,-1.883645,0,0
10-7-2021-8:27:15,28.88504,63.68066,-5.74E-01,-1.883645,0,0
10-7-2021-8:27:16,28.75929,63.40344,-4.06E-01,-1.333507,13.38201,43.90424
10-7-2021-8:27:17,29.13659,64.23523,-1.79E-02,-5.88E-02,22.88943,75.09654
10-7-2021-8:27:19,29.38808,64.78967,3.49E-01,1.143896,21.48936,70.50316
10-7-2021-8:27:20,27.25024,60.07654,7.17E-01,2.352776,33.30851,109.2799
10-7-2021-8:27:21,26.99869,59.52197,1.085321,3.560766,21.9452,71.99868
10-7-2021-8:27:22,25.48963,56.19507,1.480107,4.855994,23.83366,78.19441
10-7-2021-8:27:23,27.87902,61.46277,1.954393,6.412049,28.16409,92.40187
