DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
1-6-2021-15:38:34,65.59786,144.6187,-7.637949,-25.05889,-3.25596e-2,-1.06823e-1,,,,,,,
1-6-2021-15:38:35,69.49952,153.2203,-7.638492,-25.06067,0.0,0.0,,,,,,,
1-6-2021-15:38:36,68.82683,151.7373,-7.638492,-25.06067,0.0,0.0,,,,,,,
1-6-2021-15:38:37,47.56952,104.8729,-7.572287,-24.84346,5.795616,19.01449,,,,,,,
1-6-2021-15:38:38,59.00539,130.0847,-7.475422,-24.52566,6.511928,21.36459,,,,,,,
1-6-2021-15:38:39,63.84883,140.7627,-7.475422,-24.52566,0.0,0.0,,,,,,,
1-6-2021-15:38:40,63.31069,139.5763,-7.475422,-24.52566,0.0,0.0,,,,,,,
1-6-2021-15:38:41,63.71434,140.4662,-7.475422,-24.52566,0.0,0.0,,,,,,,
1-6-2021-15:38:42,68.82683,151.7373,-7.497128,-24.59688,-2.572212,-8.439014,,,,,,,
1-6-2021-15:38:43,65.32877,144.0254,-7.497128,-24.59688,0.0,0.0,,,,,,,
1-6-2021-15:38:44,65.32877,144.0254,-7.481934,-24.54703,3.25596e-2,1.06823e-1,,,,,,,
1-6-2021-15:38:45,59.94718,132.161,-7.356308,-24.13487,7.553837,24.78293,,,,,,,
1-6-2021-15:38:46,60.48537,133.3475,-7.21793,-23.68087,8.10735,26.59892,,,,,,,
1-6-2021-15:38:47,57.79455,127.4153,-7.077109,-23.21886,8.400388,27.56033,,,,,,,
1-6-2021-15:38:48,61.69621,136.017,-6.939816,-22.76842,8.139911,26.70574,,,,,,,
1-6-2021-15:38:49,61.02352,134.5339,-6.802794,-22.31888,7.879433,25.85116,,,,,,,
1-6-2021-15:38:50,59.13994,130.3813,-6.658175,-21.84441,8.074791,26.4921,,,,,,,
1-6-2021-15:38:51,58.06365,128.0085,-6.519797,-21.39041,7.944552,26.0648,,,,,,,
1-6-2021-15:38:52,60.61987,133.644,-6.381418,-20.93641,8.10735,26.59892,,,,,,,
1-6-2021-15:38:53,61.15807,134.8306,-6.244939,-20.48865,8.074791,26.4921,,,,,,,
1-6-2021-15:38:54,61.15807,134.8306,-6.076985,-19.93762,8.725984,28.62856,,,,,,,
1-6-2021-15:38:55,58.06365,128.0085,-5.756545,-18.8863,18.68923,61.31638,,,,,,,
1-6-2021-15:38:56,57.12186,125.9323,-5.387535,-17.67564,21.35913,70.07587,,,,,,,
1-6-2021-15:38:57,59.54358,131.2712,-5.032092,-16.50949,21.16377,69.43493,,,,,,,
1-6-2021-15:38:58,52.95111,116.7373,-4.692116,-15.39408,19.73114,64.73472,,,,,,,
1-6-2021-15:38:59,56.31462,124.1526,-4.360821,-14.30716,19.69858,64.6279,,,,,,,
1-6-2021-15:39:00,23.89049,52.66956,-4.029798,-13.22112,19.43811,63.77331,,,,,,,
1-6-2021-15:39:02,25.90856,57.11865,-3.707729,-12.16447,17.77756,58.32534,,,,,,,
1-6-2021-15:39:03,8.418362,18.55933,-3.712884,-12.18138,9.76788e-2,3.20469e-1,,,,,,,
1-6-2021-15:39:04,-3.26739e-1,-7.20337e-1,-3.717497,-12.19651,-3.90716e-1,-1.281876,,,,,,,
1-6-2021-15:39:05,3.978565,8.77124,-3.742459,-12.27841,-1.334945,-4.379742,,,,,,,
1-6-2021-15:39:06,7.88022,17.37292,-3.79971,-12.46624,-3.61412,-11.85735,,,,,,,
1-6-2021-15:39:07,11.10918,24.49158,-3.860488,-12.66564,-3.549001,-11.6437,,,,,,,
1-6-2021-15:39:08,19.98883,44.06787,-3.918282,-12.85525,-3.386203,-11.10959,,,,,,,
1-6-2021-15:39:09,37.47903,82.6272,-3.974718,-13.04041,-3.451322,-11.32323,,,,,,,
1-6-2021-15:39:10,36.26815,79.95764,-4.031426,-13.22646,-3.321083,-10.89594,,,,,,,
1-6-2021-15:39:11,37.74808,83.22034,-4.053947,-13.30035,-2.083817,-6.83667,,,,,,,
1-6-2021-15:39:12,32.90463,72.54236,-4.053947,-13.30035,0.0,0.0,,,,,,,
1-6-2021-15:39:13,33.17373,73.13562,-4.060187,-13.32082,-7.48872e-1,-2.456928,,,,,,,
1-6-2021-15:39:14,37.88263,83.51697,-4.12802,-13.54337,-4.493231,-14.74157,,,,,,,
1-6-2021-15:39:15,37.20994,82.03394,-4.214846,-13.82823,-5.242102,-17.1985,,,,,,,
1-6-2021-15:39:16,35.99905,79.36438,-4.305199,-14.12467,-5.372341,-17.62579,,,,,,,
1-6-2021-15:39:17,35.73,78.77124,-4.397994,-14.42911,-5.47002,-17.94626,,,,,,,
1-6-2021-15:39:18,52.81656,116.4407,-4.485362,-14.71575,-4.949065,-16.23709,,,,,,,
1-6-2021-15:39:19,153.0489,337.4153,-4.520906,-14.83237,-1.009349,-3.311512,,,,,,,
1-6-2021-15:39:20,167.9828,370.339,-4.517107,-14.81991,2.27917e-1,7.47761e-1,,,,,,,
1-6-2021-15:39:21,144.1692,317.839,-4.514394,-14.811,1.62798e-1,5.34115e-1,,,,,,,
1-6-2021-15:39:22,139.9985,308.644,-4.51358,-14.80833,0.0,0.0,,,,,,,
1-6-2021-15:39:23,132.8678,292.9237,-4.51141,-14.80121,2.93037e-1,9.61407e-1,,,,,,,
1-6-2021-15:39:24,128.159,282.5424,-4.504898,-14.77985,3.25596e-2,1.06823e-1,,,,,,,
1-6-2021-15:39:25,96.81116,213.4323,-4.495944,-14.75047,7.48872e-1,2.456928,,,,,,,
1-6-2021-15:39:26,83.22262,183.4746,-4.492959,-14.74068,2.60477e-1,8.54584e-1,,,,,,,
1-6-2021-15:39:27,76.76469,169.2373,-4.492959,-14.74068,0.0,0.0,,,,,,,
1-6-2021-15:39:28,75.68835,166.8644,-4.492959,-14.74068,0.0,0.0,,,,,,,
1-6-2021-15:39:29,75.01566,165.3813,-4.492688,-14.73979,0.0,0.0,,,,,,,
1-6-2021-15:39:30,75.95744,167.4576,-4.492688,-14.73979,0.0,0.0,,,,,,,
1-6-2021-15:39:31,75.15021,165.678,-4.488075,-14.72466,5.53514e-1,1.81599,,,,,,,
1-6-2021-15:39:32,58.46724,128.8983,-4.473423,-14.67659,7.81431e-1,2.563751,,,,,,,
1-6-2021-15:39:33,61.96531,136.6102,-4.473152,-14.6757,0.0,0.0,,,,,,,
1-6-2021-15:39:34,58.3327,128.6017,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:35,57.52546,126.822,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:36,56.98731,125.6356,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:37,58.06365,128.0085,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:39,57.79455,127.4153,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:40,58.46724,128.8983,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:41,56.98731,125.6356,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:42,58.06365,128.0085,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:43,58.19815,128.3051,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:44,56.98731,125.6356,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:45,56.98731,125.6356,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:46,56.71821,125.0424,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:47,57.66,127.1187,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:48,57.52546,126.822,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:49,58.06365,128.0085,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:50,57.12186,125.9323,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:51,58.06365,128.0085,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:52,58.19815,128.3051,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:53,56.98731,125.6356,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:54,58.06365,128.0085,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:55,57.12186,125.9323,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:56,58.06365,128.0085,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:57,58.3327,128.6017,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:58,58.06365,128.0085,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:39:59,57.52546,126.822,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:40:00,58.06365,128.0085,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:40:01,56.98731,125.6356,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:40:02,57.66,127.1187,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:40:03,58.06365,128.0085,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:40:04,56.98731,125.6356,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:40:05,57.25641,126.2289,-4.473423,-14.67659,0.0,0.0,,,,,,,
1-6-2021-15:40:06,58.73634,129.4916,-4.473695,-14.67748,-3.25596e-2,-1.06823e-1,,,,,,,
1-6-2021-15:40:07,62.09986,136.9069,-4.473966,-14.67837,0.0,0.0,,,,,,,
1-6-2021-15:40:08,62.09986,136.9069,-4.473966,-14.67837,0.0,0.0,,,,,,,
1-6-2021-15:40:10,61.69621,136.017,-4.475323,-14.68282,0.0,0.0,,,,,,,
